"ID","model","n_points","converged","R2","AIC","AICc","BIC"
"Arthrobacter simplex_0_TGE agar_6","Quadratic",18,TRUE,0.327060084716057,-195.034817325123,-193.320531610837,-192.363702051434
"Arthrobacter simplex_0_TGE agar_6","Logistic",18,TRUE,0.259121758126765,-193.303572841334,-191.589287127048,-190.632457567646
"Arthrobacter simplex_20_TGE agar_6","Quadratic",7,TRUE,0.963352322057568,-7.48115971664025,0.518840283359749,-7.64342926947431
"Arthrobacter simplex_20_TGE agar_6","Logistic",7,TRUE,0.981751491179308,-12.362026619782,-4.36202661978203,-12.5242961726161
"Arthrobacter simplex_30_TGE agar_6","Quadratic",8,TRUE,0.867180347045307,-3.442842367276,2.557157632724,-3.2045177422365
"Arthrobacter simplex_30_TGE agar_6","Logistic",8,TRUE,0.986205156462944,-21.5604211641453,-15.5604211641453,-21.3220965391058
"Arthrobacter simplex_37_TGE agar_6","Quadratic",8,TRUE,0.90723303600245,-4.40804447972608,1.59195552027392,-4.16971985468658
"Arthrobacter simplex_37_TGE agar_6","Logistic",8,TRUE,0.998046199061101,-35.2905557614825,-29.2905557614825,-35.052231136443
"Arthrobacter simplex_7_TGE agar_6","Quadratic",14,TRUE,0.908893450916176,-11.4537593695671,-9.05375936956706,-9.53658738072128
"Arthrobacter simplex_7_TGE agar_6","Logistic",14,TRUE,0.9177701232186,-12.8889132312254,-10.4889132312254,-10.9717412423796
"Arthrobacter sp. 62_0_TGE agar_6","Quadratic",18,TRUE,0.962557557739234,-26.8407489397821,-25.1264632254964,-24.1696336660936
"Arthrobacter sp. 62_0_TGE agar_6","Logistic",18,TRUE,0.959187426865597,-25.2894132123601,-23.5751274980744,-22.6182979386716
"Arthrobacter sp. 62_20_TGE agar_6","Quadratic",9,TRUE,0.972516597309414,-13.2138793992159,-8.41387939921592,-12.6222056672073
"Arthrobacter sp. 62_20_TGE agar_6","Logistic",9,TRUE,0.984419781146505,-18.3221011679182,-13.5221011679182,-17.7304274359095
"Arthrobacter sp. 62_30_TGE agar_6","Quadratic",10,TRUE,0.282593284019906,-101.177300498856,-97.1773004988565,-100.269545219874
"Arthrobacter sp. 62_30_TGE agar_6","Logistic",10,TRUE,0.0301497785245802,-98.16231327771,-94.16231327771,-97.2545579987278
"Arthrobacter sp. 62_37_TGE agar_6","Quadratic",16,TRUE,0.696345917904157,-169.662107991918,-167.662107991918,-167.344341825199
"Arthrobacter sp. 62_37_TGE agar_6","Logistic",16,TRUE,0.585847911065157,-164.696602307715,-162.696602307715,-162.378836140996
"Arthrobacter sp. 62_7_TGE agar_6","Quadratic",12,TRUE,0.957542750367818,-16.3210747688243,-13.3210747688243,-14.8663548194603
"Arthrobacter sp. 62_7_TGE agar_6","Logistic",12,TRUE,0.962070814828221,-17.6743964363335,-14.6743964363335,-16.2196764869695
"Arthrobacter sp. 77_0_TGE agar_6","Quadratic",19,TRUE,0.98611449263656,-51.0994963647734,-49.4994963647734,-48.2661794272741
"Arthrobacter sp. 77_0_TGE agar_6","Logistic",19,TRUE,0.99037701907555,-58.0666363164711,-56.4666363164711,-55.2333193789718
"Arthrobacter sp. 77_20_TGE agar_6","Quadratic",7,TRUE,0.960256029980167,-9.21617243722731,-1.21617243722731,-9.37844199006137
"Arthrobacter sp. 77_20_TGE agar_6","Logistic",7,TRUE,0.974471733192851,-12.3148749777851,-4.31487497778506,-12.4771445306191
"Arthrobacter sp. 77_30_TGE agar_6","Quadratic",10,TRUE,0.916689102935242,-8.13791821090198,-4.13791821090198,-7.23016293191985
"Arthrobacter sp. 77_30_TGE agar_6","Logistic",10,TRUE,0.967428759107378,-17.5294146099723,-13.5294146099723,-16.6216593309901
"Arthrobacter sp. 77_37_TGE agar_6","Quadratic",17,TRUE,0.382021266107662,-180.264062687302,-178.417908841148,-177.764422655133
"Arthrobacter sp. 77_37_TGE agar_6","Logistic",17,TRUE,0.17006947574045,-175.250967607213,-173.404813761059,-172.751327575045
"Arthrobacter sp. 77_7_TGE agar_6","Quadratic",13,TRUE,0.958832553360691,-19.1282822600529,-16.4616155933862,-17.4334341876683
"Arthrobacter sp. 77_7_TGE agar_6","Logistic",13,TRUE,0.982290622282813,-30.094477761565,-27.4278110948984,-28.3996296891804
"Arthrobacter sp. 88_0_TGE agar_6","Quadratic",13,TRUE,0.982779188875477,-36.1307237194768,-33.4640570528101,-34.4358756470922
"Arthrobacter sp. 88_0_TGE agar_6","Logistic",13,TRUE,0.988718498037981,-41.6291284709779,-38.9624618043112,-39.9342803985933
"Arthrobacter sp. 88_20_TGE agar_6","Quadratic",14,TRUE,0.800745082785469,0.553608158123357,2.95360815812336,2.47078014696913
"Arthrobacter sp. 88_20_TGE agar_6","Logistic",14,TRUE,0.985316934775427,-35.9568545274877,-33.5568545274877,-34.039682538642
"Arthrobacter sp. 88_30_TGE agar_6","Quadratic",11,TRUE,0.864211246494927,-0.318933441079167,3.10963798749226,0.874752377315945
"Arthrobacter sp. 88_30_TGE agar_6","Logistic",11,TRUE,0.966589633667209,-15.7435093552663,-12.3149379266949,-14.5498235368712
"Arthrobacter sp. 88_37_TGE agar_6","Quadratic",16,TRUE,0.21866930871244,-166.22097674348,-164.22097674348,-163.903210576761
